|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
1011|Go Vacation|20 Hours|--|105 Hours|39 Hours|70|Namco Bandai Games|Namco Bandai Games, Nintendo|Sports
1012|Infestation (2000)|--|--|--|--|NR|Frontier Developments|Ubisoft| 2000
1013|Jeremy McGrath Supercross 98|--|--|--|--|NR|Probe Entertainment|Acclaim Entertainment| May 31, 1998
1014|Sudoku by Nikoli|--|--|--|--|NR|HAMSTER|HAMSTER| 2012
1015|Battle of Britain|--|--|--|--|40|Personal Software Services|Personal Software Services| March 1987
1016|Delicious: Emily's Hopes and Fears|--|--|9½ Hours|9½ Hours|60|Blue Giraffe|GameHouse|Strategy
1017|Deathless: The City's Thirst|--|--|--|--|NR|Choice of Games|Choice of Games|Text, Adventure, Role-Playing
1018|Outlast 2|7½ Hours|8½ Hours|12 Hours|8 Hours|73|Red Barrels|Red Barrels|First-Person, Survival, Survival Horror
1019|Battle Chess: Game of Kings|--|--|--|--|30|Olde Sküül, Sculptured Software|Interplay Entertainment| December 11, 2015
1020|Who Is Mike|15 Mins|46 Mins|2 Hours|56 Mins|62|Fervent|Afterthought Studios|Visual Novel
1021|Beyond Sol|--|--|--|--|NR|Praxia Entertainment|Praxia Entertainment| June 30, 2015
1022|Galactic Inheritors|--|--|--|--|NR|Crispon Games|Plug In Digital, Argonauts Interactive| June 09, 2015
1023|Mystical|--|--|--|--|20|Philippe Forgeur|Philippe Forgeur| July 31, 2015
1024|Zombasite|--|--|--|--|NR|Soldak Entertainment|Soldak Entertainment|Action, Role-Playing
1025|Icebound|--|--|--|--|NR|Fastermind Games|Fastermind Games| August 05, 2015
1026|SquareCells|4 Hours|4½ Hours|5½ Hours|5 Hours|73|Matthew Brown|Matthew Brown|Puzzle
1027|Bob Was Hungry|7 Hours|--|--|7 Hours|80|Shorebound Studios|Shorebound Studios|Platform
1028|CMYW|--|--|--|--|NR|Shane Berezowski|Black Shell Media| October 16, 2015
1029|Empires of Creation|--|--|--|--|NR|Bundle Of Sticks Studios|Black Shell Media| November 20, 2015
1030|King's Field III: Pilot Style|55 Mins|--|--|55 Mins|70|From Software|PlayStation| August 22, 1996
1031|Kitchen Panic|--|--|--|--|NR|Panther Software|Panther Software| February 1998
1032|Kyuin|--|--|--|--|NR|MonkeyPaw Games|Shooter| 1 Year Ago
1033|Lattice: 200EC7|--|--|--|--|NR|Nousite|Nousite| April 27, 2000
1034|Lost in Paradise|--|--|3½ Hours|3½ Hours|55|Elev8 Games|Elev8 Games|Point-and-Click, Adventure
1035|Bombing Bastards|--|--|--|--|NR|Sanuk Games|Sanuk Games| December 04, 2014
1036|Flying Tigers: Shadows Over China|3½ Hours|4 Hours|--|3½ Hours|70|Ace Maddox|Ace Maddox|Flight Combat
1037|Warhammer 40,000: Deathwatch|19 Hours|--|21 Hours|20 Hours|NR|Rodeo Games|Rodeo Games|Role-Playing, Strategy
1038|The Ritual on Weylyn Island|1½ Hours|--|--|1½ Hours|37|zemaGamez|zemaGamez|Action, Adventure
1039|Nyan Cat: Lost In Space|--|--|13½ Hours|13½ Hours|NR|isTom Games Kft.|isTom Games Kft.| December 04, 2015
1040|Playing History: The Plague|1½ Hours|1½ Hours|1½ Hours|1½ Hours|60|Serious Games Interactive|Serious Games Interactive|Adventure
1041|Undercover Missions: Operation Kursk K-141|--|--|--|--|NR|The Game Species|Ravenscourt| December 11, 2015
1042|Vendetta: Curse of Raven's Cry|--|--|--|--|NR|Reality Pump Studios|TopWare Interactive| November 20, 2015
1043|Mayan Death Robots|--|--|--|--|NR|Sileni Studios|SOEDESCO Publishing| November 20, 2015
1044|Prune|3 Hours|3 Hours|3½ Hours|3 Hours|66|Joel McDonald|Joel McDonald|Music/Rhythm
1045|Poncho|3½ Hours|4½ Hours|5 Hours|4 Hours|37|Delve Interactive|Rising Star Games|Adventure, Platform
1046|Star Trek: Bridge Commander|7 Hours|9 Hours|15 Hours|9½ Hours|90|Totally Games|Activision|Simulation
1047|Love & Destroy|--|--|--|--|NR|Inti Creates|SCEI| December 16, 1999
1048|Love Love Truck|--|--|--|--|NR|Scitron & Art|TYO| June 24, 1999
1049|Code: Realize - Guardian of Rebirth|11 Hours|19½ Hours|28½ Hours|18 Hours|79|Aksys|PlayStation Vita| October 20, 2015
1050|Office Battle|--|--|--|--|NR|Black Lime Studio|Black Lime Studio|Action
1051|Umihara Kawase Shun: Steam Edition|--|--|--|--|80|Studio Saizensen|Agatsuma Entertainment| November 24, 2015
1052|Mahoutsukai ni Naru Houhou|--|--|--|--|NR|TGL|TGL| February 18, 1999
1053|Swing (1997)|--|--|--|--|NR|Software 2000|Software 2000| 1997
1054|MaxRacer|--|--|--|--|NR|PD|PD| April 18, 1997
1055|Super Trench Attack 2|2 Hours|--|--|2 Hours|NR|Retro Army Limited|Retro Army Limited| November 06, 2015
1056|The Light Empire|--|--|--|--|NR|Jemy|Jemy| December 02, 2015
1057|How to Take Off Your Mask|2 Hours|--|4 Hours|4 Hours|60|Chu-3, Bakufu Narayama|roseVeRte|Visual Novel
1058|Notch: The Innocent LunA - Eclipsed SinnerS|10½ Hours|--|11 Hours|11 Hours|50|Angels Blue Digital Entertainment, DEZ Studio|DEZ Studio|Visual Novel
1059|Fatehaven|4 Hours|5½ Hours|--|4½ Hours|60|Hosted Games|Hosted Games| August 08, 2014
1060|CyberStorm 2: Corporate Wars|22 Hours|--|--|22 Hours|NR|Dynamix|Sierra Entertainment| May 31, 1998
1061|Catorize|--|--|--|--|NR|Anima Locus|Anima Locus| November 12, 2015
1062|Your Quest|--|--|--|--|NR|Oblivionburn Productions|Oblivionburn Productions| April 13, 2015
1063|Cube Escape: The Mill|27 Mins|--|30 Mins|29 Mins|70|Rusty Lake|Android, iOS, PC| 1 Month Ago
1064|Blood & Gold: Caribbean!|--|--|--|--|NR|Snowbird Games|Snowbird Games|Open World, Role-Playing
1065|Tetris Classic|--|--|--|--|NR|Spectrum Holobyte|Spectrum Holobyte| 2 Months Ago
1066|Welltris|--|--|--|--|NR|Doka, Sphere, Bullet-Proof Software|Infogrames, Spectrum HoloByte| 1989
1067|Gunnheim|--|--|--|--|NR|SIEIDI|Meridian4|Multidirectional, Shooter
1068|Porcunipine|--|--|--|--|NR|Big Green Pillow|Curve Digital| May 21, 2015
1069|Unclaimed World|--|--|--|--|NR|Refactored Games|Refactored Games| October 04, 2016
1070|WARSHIFT|--|--|--|--|NR|Cyril Megem|Nominia| August 14, 2015
1071|Tropico 5 - T-Day DLC|2 Hours|--|--|2 Hours|30| DLC/Expansion|Haemimont Games|PC
1072|Mizzurna Falls|--|--|--|--|NR|Human Entertainment|Human Entertainment| December 23, 1998
1073|Momotarou Densetsu|--|--|19½ Hours|19½ Hours|60|Make|Hudson| December 23, 1998
1074|Community College Hero: Trial by Fire|5 Hours|11½ Hours|--|8 Hours|70|Hosted Games|Hosted Games|Text, Adventure
1075|Off-Peak|23 Mins|37 Mins|52 Mins|31 Mins|60|Cosmo D Studios|Cosmo D Studios|Adventure
1076|Super Mutant Alien Assault|1 Hours|--|--|1 Hours|60|Cybernate|Surprise Attack| August 20, 2015
1077|Second Life|--|--|--|--|10|Linden Lab|Massively Multiplayer, Simulation| 1 Week Ago
1078|Republique: Episode 4 - God's Acre|--|--|3½ Hours|3½ Hours|50| DLC/Expansion|Camouflaj| December 17, 2015
1079|Hyper Metroid|5½ Hours|--|--|5½ Hours|NR| ROM Hack|RealRed|Scrolling, Action, Adventure, Platform, Shooter
1080|Star Wars: Galaxy of Heroes|--|--|--|--|70|EA Capital Games, EA Mobile|Electronic Arts| November 24, 2015
1081|Big Bass Fishing|--|--|--|--|10|Coresoft|Take-Two Interactive| May 02, 2002
1082|Bitardia|--|6 Hours|--|6 Hours|NR|varlamov5264|varlamov5264| November 20, 2015
1083|Caverns of the Snow Witch|2½ Hours|3 Hours|4½ Hours|3 Hours|55|Tin Man Games|Tin Man Games|Adventure, Role-Playing
1084|Showing Tonight: Mindhunters Incident|3 Hours|4 Hours|15 Hours|5½ Hours|30|Phime Studio|Phime Studio|Hidden Object
1085|Megatect|--|--|--|--|NR|Timedrop Studios|Timedrop Studios| November 04, 2015
1086|Lumini|1½ Hours|--|--|1½ Hours|NR|Speelbaars|Rising Star Games|Adventure
1087|Cluck Yegger in Escape From The Planet of the Poultroid|--|--|--|--|NR|Hosted Games|Hosted Games| November 09, 2015
1088|X-Change|--|--|3 Hours|3 Hours|40|Crowd|Peach Princess|First-Person, Point-and-Click, Visual Novel
1089|Project Pulsation|--|--|--|--|NR|Vitaly Gintsar|Cubic Pie| December 15, 2015
1090|Moonlight Syndrome|--|--|--|--|NR|Human Entertainment, Vaill, Spike|Human Entertainment, Spike| October 09, 1997
1091|Mort the Chicken|--|--|--|--|40|Crave Entertainment|PlayStation| November 30, 2000
1092|Motor Mash|--|--|10 Hours|10 Hours|70|Eutechnyx|Ocean Media| November 1997
1093|Nanatsu no Hikan|--|--|--|--|NR|Koei|Adventure| 2 Years Ago
1094|Hatoful Boyfriend: Holiday Star|4 Hours|5 Hours|6 Hours|5½ Hours|72|Hato Moa, MIST[PSI]PRESS, Mediatonic|MIST[PSI]PRESS, Devolver Digital|Visual Novel
1095|Hit Tank PRO|--|--|--|--|NR|Bacq Stellan|Bacq Stellan| December 02, 2015
1096|Paranoia Scape|48 Mins|--|--|48 Mins|40|Jorudan|Mathilda|Scrolling, Shooter
1097|OH! RPG!|5 Hours|7½ Hours|8½ Hours|7 Hours|50|RosePortal Games|Aldorlea Games|Role-Playing
1098|Rubber Ducky and the Rainbow Gun|1 Hours|1 Hours|--|1 Hours|70|John Szymanski|John Szymanski|Action
1099|Blok Drop X: Twisted Fusion|--|--|--|--|NR|Leuvsion|RCMADIAX| December 18, 2014
1100|Zero Punctuation: Hatfall - Hatters Gonna Hat Edition|--|--|--|--|NR|Ben 'Yahtzee' Croshaw, Collected Worlds|Addicting Games, Defy Media|Action
1101|Trainz: A New Era|--|--|--|--|NR|N3V Games|Deep Silver|Simulation
1102|Homeworld: Deserts of Kharak|10 Hours|11 Hours|13 Hours|10½ Hours|70|Blackbird Interactive|Gearbox Software|Top-Down, Real-Time, Strategy
1103|Monsterland|--|--|--|--|NR|Second Variety Games|Second Variety Games| December 14, 2015
1104|ShipLord|6 Hours|--|7½ Hours|7 Hours|60|Just1337 Studio|KupiKey| December 02, 2015
1105|Supreme Ruler 1936|--|--|--|--|NR|BattleGoat Studios|BattleGoat Studios|Real-Time, Strategy
1106|TY the Tasmanian Tiger 4|3½ Hours|9 Hours|16 Hours|5½ Hours|55|Krome Studios|Krome Studios|Platform
1107|The Troma Project|--|--|--|--|NR|Nekrosoft|TopWare Interactive| October 28, 2015
1108|Zombie Office Politics|--|--|--|--|NR|Jeff Penketh|Jeff Penketh| December 03, 2015
1109|Days Under Custody|1 Hours|--|1½ Hours|1 Hours|NR|Abraham Carreola|Abraham Carreola|Survival, Survival Horror
1110|Land's End|45 Mins|--|--|45 Mins|10|Ustwo|Oculus Go| November 10, 2015
1111|Gun Wings|30 Mins|--|--|30 Mins|80|Mercury Stone ,Angels Blue Digital Entertainment, DEZ Studio|DEZ Studio|Scrolling, Shooter
1112|Eiyuu Senki: The World Conquest|--|49½ Hours|80 Hours|55½ Hours|80|Tenco|Mages|First-Person, Turn-Based, Role-Playing, Strategy, Visual Novel
1113|The Extinction|--|--|--|--|NR|ArrowGroundGames|ArrowGroundGames| October 30, 2015
1114|Crash Dive (1983)|--|--|--|--|NR|Fox Video Games|Fox Video Games| 1983
1115|Dark Heritage: Guardians of Hope|4 Hours|4 Hours|5 Hours|4½ Hours|58|World Loom, House of Fables|Artifex Mundi|Hidden Object
1116|Furfly|--|--|--|--|NR|SMD Gaming Studio|SMD Gaming Studio| December 18, 2015
1117|Goodnight Butcher|--|--|--|--|NR|Perfect Square Studios|Perfect Square Studios| December 18, 2015
1118|Queen's Quest: Tower of Darkness|3 Hours|3½ Hours|3½ Hours|3 Hours|53|Brave Giant|Artifex Mundi|Point-and-Click, Hidden Object
1119|Power Rangers: Lightspeed Rescue|1½ Hours|--|6 Hours|3 Hours|NR|Climax Studios|THQ| 1.5 Months Ago
1120|Psybadek|--|--|--|--|NR|Psygnosis|Psygnosis| November 17, 1998
1121|Rageball|--|--|--|--|NR|Naps Team|Agetec| July 25, 2002
1122|Rascal Racers|--|--|30 Mins|30 Mins|NR|Miracle Designs|Telegames| March 19, 2004
1123|RC de Go!|1½ Hours|--|--|1½ Hours|80|Taito|Acclaim Entertainment|Top-Down, Racing
1124|Rittai Ninja Katsugeki Tenchu: Shinobi Gaisen|2 Hours|--|--|2 Hours|70|Acquire|Sony Music Entertainment| February 25, 1999
1125|Road Rage (1997)|--|--|--|--|NR|KCET|Konami| August 01, 1997
1126|Robbit Mon Dieu|--|--|--|--|NR|Sugar & Rockets|Sony Computer Entertainment| October 14, 1999
1127|Hungry Cat Picross|33½ Hours|--|--|33½ Hours|NR|Tuesday Quest|Android| 2016
1128|Slayers Wonderful|--|15 Hours|--|15 Hours|40|Banpresto|Banpresto| October 22, 1998
1129|Soukaigi|--|--|--|--|NR|Yuke's|Square| May 28, 1998
1130|Space Debris|--|--|--|--|NR|Rage Software|SCEE| January 2000
1131|Rain World|20 Hours|30½ Hours|40 Hours|30 Hours|76|Videocult|Adult Swim Games|Adventure, Platform
1132|Spriggan: Lunar Verse|--|--|--|--|NR|From Liquid Mirror Software|From Software| June 17, 1999
1133|Summon Night 2|--|--|--|--|NR|Flight-Plan|Bandai Namco Games| August 02, 2001
1134|Supercross Circuit|--|--|--|--|NR|Idol Minds|989 Sports| October 31, 1999
1135|The Curse of Issyos|--|42 Mins|3½ Hours|2 Hours|50|Locomalito|PC| December 15, 2015
1136|PewDiePie: Legend of the Brofist|2½ Hours|6 Hours|--|4 Hours|56|Outerminds|Outerminds|Platform
1137|Moon Hunters|1½ Hours|6½ Hours|26 Hours|3½ Hours|69|Kitfox Games|Kitfox Games|Action, Role-Playing
1138|Space - The Return Of The Pixxelfrazzer|--|--|--|--|NR|Sørb|Sørb| November 02, 2015
1139|Shockwave (1996)|--|--|--|--|NR|Electronic Arts|Electronic Arts Victor| July 26, 1996
1140|AGON: The Lost Sword of Toledo|7 Hours|--|10½ Hours|8 Hours|30|Private Moon Studios, Microids|Gravity Europe|Point-and-Click, Adventure
1141|Krosmaster Arena|--|--|--|--|NR|Ankama Studio|Ankama Games| November 09, 2015
1142|Gladiators Online: Death Before Dishonor|--|--|--|--|NR|Dorado Games|Dorado Games| November 04, 2015
1143|Katana Zero|--|--|--|--|NR|Askiisoft|Adult Swim Digital| 2016
1144|Might & Magic Heroes VII|51½ Hours|113 Hours|--|66 Hours|70|Limbic Entertainment|Ubisoft|Turn-Based, Strategy
1145|Terracon|--|--|--|--|NR|Picture House|SCEE| August 25, 2000
1146|The Bombing Islands|--|--|--|--|NR|Kemco|Kemco| May 02, 2001
1147|Thunder Truck Rally|25 Mins|--|--|25 Mins|20|Reflections|Psygnosis| 1997
1148|TigerShark|--|--|--|--|NR|n-Space|GT Interactive| 1997
1149|Tintin: Destination Adventure|--|--|--|--|50|Runecraft|Infogrames| September 21, 2001
1150|Tyco R/C: Assault with a Battery|--|--|--|--|NR|Lucky Chicken Games|Mattel| September 2000
1151|WarGames: Defcon 1|--|--|--|--|70|Interactive Studios|MGM Interactive, Electronic Arts|Shooter, Tactical
1152|Woody Woodpecker Racing|--|--|--|--|NR|Syrox Developments|Konami|Racing
1153|XS Airboat Racing|28 Mins|--|--|28 Mins|NR|Miracle Designs|XS Games| 2004
1154|Tony Hawk's Pro Skater 5|3 Hours|4½ Hours|10 Hours|4½ Hours|44|Robomodo Disruptive Games|Activision|Arcade, Sports
1155|Hot Pinball Thrills|--|--|--|--|NR|Fancy Bytes, Reactor|United Independent Entertainment|Pinball
1156|Soccer Pinball Thrills|--|--|--|--|NR|Fancy Bytes, Reactor|United Independent Entertainment| June 26, 2015
1157|Sim Junta|--|--|--|--|NR|Icehole Games|Strategy First| August 18, 2015
1158|The Lost Battalion: All Out Warfare|--|--|--|--|NR|Jake Olson|Impartial Studios| April 23, 2015
1159|Among the Heavens|5 Hours|8½ Hours|9 Hours|8½ Hours|50|Jetdogs Studios, CorePunch Gamestudio|Jetdogs Studios|Simulation
1160|Operation Z|--|--|--|--|NR|Fixer Games|Fixer Games| October 02, 2015
1161|The Dark Stone from Mebara|--|--|--|--|20|Jerseyware Gaming|KISS| February 27, 2015
1162|Fly in the House|--|--|--|--|NR|Mykhail Konokh|KISS| March 06, 2015
1163|Super Goo Goo|--|--|--|--|NR|Dumb and Fat Games|Dumb and Fat Games| April 16, 2015
1164|Luxury Hotel Emporium|--|--|--|--|NR|United Independent Entertainment|United Independent Entertainment| August 07, 2015
1165|The Worm|--|--|--|--|NR|Carlo D'Apostoli Projects|Strategy First| 4 Months Ago
1166|A Sirius Game|--|--|--|--|NR|Overcloud9, Phantasm Games|Aldorlea Games| August 21, 2015
1167|Last Heroes|--|--|4½ Hours|4½ Hours|50|Warfare Studios|Aldorlea Games| November 13, 2015
1168|Hocus|3 Hours|3½ Hours|4 Hours|3½ Hours|53|Yunus Ayyildiz, Sho Ohhira|Yunus Ayyildiz|Puzzle
1169|Keebles|3 Hours|--|--|3 Hours|30|Burnt Fuse|Green Man Loaded|Action
1170|Idol Hands|4 Hours|--|9½ Hours|7 Hours|50|Pocket Games, Fluid Games, GodSpeed Games|Green Man Loaded|Simulation, Strategy
1171|SEAL Team 12|--|--|--|--|NR|Social Loner Studios|Social Loner Studios| April 26, 2012
1172|Statues|2 Hours|--|4½ Hours|3 Hours|NR|Room710Games|Room710Games|Action, Adventure, Survival, Survival Horror
1173|Carp Fishing Simulator|--|--|--|--|NR|Dangerous Derk Interactive|Dangerous Derk Interactive| April 28, 2015
1174|Albert and Otto: The Adventure Begins|2 Hours|2½ Hours|7 Hours|3½ Hours|70|Nikola Kostic|KBros Games|Scrolling, Platform, Puzzle
1175|Nightside|--|--|--|--|NR|Omnidream Creations|Omnidream Creations| April 02, 2015
1176|Life is Hard|--|--|--|--|NR|Pirozhok Studio, Vitaliy Ruzankin|Pirozhok|Adventure, Strategy
1177|GooCubelets 2|--|--|16 Hours|16 Hours|28|Zonitron Productions|GrabTheGames|Puzzle
1178|Rescue Team 2|3½ Hours|5 Hours|--|5 Hours|70|Alawar Entertainment|Buka Entertainment|Simulation, Strategy
1179|Rescue Team 3|3½ Hours|4 Hours|--|4 Hours|70|Alawar Entertainment|Buka Entertainment|Simulation, Strategy
1180|DungeonUp|10½ Hours|--|--|10½ Hours|80|Clewcat Games|Black Shell Media| November 18, 2014
1181|Ladra|3 Hours|--|--|3 Hours|NR|Is Future Bright|Black Shell Media|Action, Adventure
1182|This Book Is A Dungeon|2 Hours|--|2½ Hours|2½ Hours|55|Nathan Meunier|Black Shell Media|Text, Adventure
1183|Osteya|52 Mins|--|--|52 Mins|50|MetalBear|MetalBear|Platform
1184|EyeToy: Play 3|--|--|--|--|50|SCE London Studio|Sony Computer Entertainment|Party
1185|SodaCity|--|4½ Hours|--|4½ Hours|40|Tochas Studios|Tochas Studios| December 08, 2015
1186|Steel Rain|--|--|--|--|NR|PolarityFlow, Adrian Zingg|PolarityFlow| December 03, 2015
1187|Store Manager: Cellular Edition|--|--|--|--|NR|ChiVue Games|ChiVue Games| December 03, 2015
1188|SimplePlanes|3½ Hours|--|--|3½ Hours|73|Jundroo|Jundroo|Sandbox, Simulation
1189|Teddy Terror|--|--|--|--|NR|Rage Monster Games|Rage Monster Games| May 21, 2015
1190|Car Washer: Summer of the Ninja|--|--|--|--|NR|Pen and Sword Games|Pen and Sword Games| November 04, 2015
1191|Lapland Solitaire|--|--|6 Hours|6 Hours|NR|Lemon Moose|Nomad Games| September 14, 2015
1192|Respawn Man|39 Mins|48 Mins|1½ Hours|53 Mins|NR|Evan (Solidplasma) Peiperl|Solidplasma|Action
1193|Lightsaber Escape|5 Mins|--|--|5 Mins|NR|Lucasfilm, Unit 9|Disney| December 15, 2015
1194|Call of Booty|--|--|--|--|NR|Julian Henley|Indie Retro Games| August 06, 2018
1195|Creatures Such as We|2 Hours|4½ Hours|--|2½ Hours|90|Choice of Games|Choice of Games| December 12, 2014
1196|The Deadly Tower of Monsters|4 Hours|4½ Hours|6 Hours|4½ Hours|69|ACE Team|ATLUS|Top-Down, Multidirectional, Action, Adventure
1197|Bombshell|11 Hours|12 Hours|--|12 Hours|50|Interceptor Entertainment|3D Realms|Top-Down, Action, Shooter
1198|Lost World Zero|--|--|--|--|NR|Mark Golden|S82 Games| February 12, 2016
1199|Rogue Harvest|--|--|--|--|NR|Genetix Studio|Genetix Studio| November 05, 2015
1200|Star Wars: The Old Republic - Knights of the Fallen Empire|10 Hours|15 Hours|--|12½ Hours|60| DLC/Expansion|BioWare Austin|PC
1201|Krai Mira|16½ Hours|20 Hours|--|18 Hours|NR|TallTech Studio|TallTech Studio|Adventure, Role-Playing
1202|Color Guardians|5 Hours|6 Hours|12½ Hours|6½ Hours|51|Fair Play Labs|Niffler|Action
1203|Batman: Arkham Knight - Season of Infamy: Most Wanted|2½ Hours|2½ Hours|3 Hours|2½ Hours|84| DLC/Expansion|Rocksteady Studios|Action, Adventure
1204|Leisure Suit Larry's Casino|--|--|--|--|NR|Sierra On-Line|Sierra On-Line| 1998
1205|Heroes Never Lose: Professor Puzzler's Perplexing Ploy|7 Hours|--|--|7 Hours|NR|Magic Pants|Spearhead| November 24, 2015
1206|Aviary Attorney|4½ Hours|6 Hours|8 Hours|5½ Hours|79|Sketchy Logic|Sketchy Logic|Adventure
1207|Pizza Connection|--|--|--|--|NR|Assemble Entertainment|Assemble Entertainment| 1994
1208|Firefighters 2014|--|--|--|--|NR|VIS - Visual Imagination Software|Rondo Media| May 21, 2014
1209|RESCUE 2: Everyday Heroes|--|--|--|--|NR|Fragment Production|Rondomedia|Simulation, Strategy
1210|Sakura Santa|1½ Hours|2½ Hours|3½ Hours|2 Hours|53|Winged Cloud|MangaGamer|Visual Novel
1211|Mahjong Quest|--|--|--|--|NR| DLC/Expansion|iWin|Board Game
1212|Paradise Island (VR)|--|--|41 Mins|41 Mins|50|Fabio Ferrara, Fabio Mosca, Giulia Airoldi|Chubby Pixel|Adventure
1213|Emily Wants to Play|2 Hours|2 Hours|4 Hours|2½ Hours|27|Shawn Hitchcock|SKH Apps|First-Person, Real-Time, Survival Horror
1214|Adibou 2|5 Hours|--|--|5 Hours|50|Coktel Vision|Coktel Vision|Point-and-Click, Real-Time, Educational
1215|Uncle Ernest's Mysterious Island|--|--|--|--|50|Lexis Numérique|Emme| 2000
1216|Uncle Albert's Fabulous Journey|--|--|--|--|50|Lexis Numérique|Point-and-Click, Adventure, Puzzle| 2 Years Ago
1217|Goosebumps: The Game|2½ Hours|4 Hours|4 Hours|3½ Hours|57|WayForward|GameMill Entertainment|Point-and-Click, Adventure, Horror, Survival
1218|Earth Defense Force 4.1: The Shadow of New Despair|21 Hours|35 Hours|989 Hours|66 Hours|77|Xseed|PC, PlayStation 4| December 08, 2015
1219|Infinite Game Works - Episode 1|--|--|--|--|NR|Sakura River Interactive|Sakura River Interactive| October 26, 2015
1220|Invasion: Brain Craving|--|--|--|--|NR|New Reality Games|New Reality Games| December 01, 2015
1221|Refunct|23 Mins|31 Mins|33 Mins|29 Mins|71|Dominique Grieshofer|Dominique Grieshofer|Adventure
1222|Without Within 2|1½ Hours|2 Hours|2 Hours|1½ Hours|50|InvertMouse|InvertMouse|Visual Novel
1223|iso-Sphere|--|--|--|--|NR|Mighty Fox Studio|Mighty Fox Studio| November 15, 2015
1224|Noble * Works|--|--|--|--|20|Yuzu-Soft|PC| December 24, 2010
1225|Quantumnauts: Chapter 1 - Speed of Light, Space Pirates and Multiverses|2 Hours|--|--|2 Hours|70|Midian Design|Midian Design| October 08, 2009
1226|Shiness: The Lightning Kingdom|16½ Hours|20½ Hours|48½ Hours|21 Hours|65|Enigami|Focus Home Interactive|Action, Role-Playing
1227|Energy Hook|--|--|--|--|NR|Happion Labs|Happion Labs| August 08, 2015
1228|The Delusions of Von Sottendorff and His Square Mind|5½ Hours|--|7½ Hours|6½ Hours|60|Delirium Studios|Delirium Studios|Puzzle, Strategy
1229|Queen Under The Mountain|--|--|--|--|NR|Michael Todd Games|Michael Todd Games| September 29, 2015
1230|Midnight Mysteries: Witches of Abraham|2½ Hours|3 Hours|5 Hours|3½ Hours|55|Hot Lava|MumboJumbo|Point-and-Click, Hidden Object
1231|Last Horizon|--|--|--|--|50|Pixeljam|Pixeljam| November 18, 2015
1232|Masterful Justice Schronicles|56 Mins|1½ Hours|2 Hours|1½ Hours|10|Kyle Maxwell|PC| 2 Years Ago
1233|Cholo|--|--|--|--|NR|Solid Image|Firebird| 1986
1234|Crash Time 4: The Syndicate|--|--|--|--|NR|Synetic|DTP Entertainment| January 24, 2012
1235|Giana Sisters: Dream Runners|--|--|--|--|NR|Black Forest Games|EuroVideo Medien| August 26, 2015
1236|Hitori|--|--|25 Mins|25 Mins|NR|SlyGames|SlyGames| January 12, 2018
1237|Angels Fall First|--|--|--|--|NR|Strangely Interactive|Strangely Interactive| October 01, 2015
1238|Monsters & Munitions|--|--|--|--|NR|Amazing Atom|MumboJumbo| 1 Year Ago
1239|PULSAR: Lost Colony|1½ Hours|3 Hours|9½ Hours|4 Hours|NR|Leafy Games|Leafy Games| September 15, 2015
1240|Barker Bill's Trick Shooting|--|--|--|--|NR|Nintendo Research & Development 1|Nintendo| 5.5 Months Ago
1241|Ishido: The Way of Stones|43 Mins|--|--|43 Mins|NR|Publishing International|Accolade| 1990
1242|CRYPTARK|4½ Hours|--|--|4½ Hours|67|Alientrap|Alientrap|Action, Roguelike, Shooter
1243|The Hulk (1984)|--|--|--|--|NR|Adventure International|Load'N'Go Software| 1984
1244|Myth Makers: Orbs of Doom|--|--|--|--|80|Data Design Interactive|Bold Games, Popcorn Arcade| October 26, 2007
1245|Return NULL - Episode 2|58 Mins|--|--|58 Mins|NR|Michael Lückgen|Digital Tribe, iNDEE SOLO|Point-and-Click, Adventure
1246|Signal to Noise|--|1 Hours|--|1 Hours|10|Solanimus|Solanimus| November 20, 2015
1247|Shark Attack Deathmatch 2|--|--|--|--|30|Lighthouse Games Studio|Lighthouse Games Studio| June 28, 2015
1248|Earth Defense Force 2: Invaders from Planet Space|10½ Hours|19 Hours|392 Hours|37½ Hours|80|Sandlot|XSEED Games|Third-Person, Shooter
1249|Cut the Rope: Magic|--|--|5½ Hours|5½ Hours|85|ZeptoLab|ZeptoLab|Puzzle
1250|Gotcha Racing|8½ Hours|--|--|8½ Hours|85|Natsume|Natsume|Top-Down, Racing
1251|Gathering Sky|36 Mins|--|--|36 Mins|50|A Stranger Gravity|A Stranger Gravity|Adventure
1252|Hardware: Rivals|--|--|60 Hours|60 Hours|45|SCE Connected Content Group|Sony Computer Entertainment Europe|Car Combat
1253|ZHEROES|--|--|--|--|NR|Rimlight Studios|Rimlight Studios| January 15, 2016
1254|Tin Star (2014)|6 Hours|--|--|6 Hours|95|Hosted Games|Hosted Games|Text, Adventure, Interactive Art, Role-Playing, Visual Novel
1255|Final Fantasy Explorers|22½ Hours|28½ Hours|37½ Hours|25 Hours|64|Square Enix Racjin|Square Enix|Action, Role-Playing
1256|Bravely Second: End Layer|43½ Hours|62½ Hours|97 Hours|61 Hours|83|Silicon Studio|Square Enix|Third-Person, Turn-Based, Role-Playing
1257|Zero Time Dilemma|21 Hours|21½ Hours|22 Hours|21½ Hours|81|Spike Chunsoft|Aksys Games|Puzzle, Survival, Survival Horror, Visual Novel
1258|Street Fighter V|2½ Hours|7½ Hours|29½ Hours|5½ Hours|69|Capcom|Capcom|Fighting
