|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
7731|Obscure: Challenge Your Mind|--|--|--|--|NR|RoboDev|RoboDev| July 19, 2017
7732|Reflecting Fate|--|--|--|--|30|KxONE, Andrew Drumov, starmops|starmops| July 10, 2017
7733|The Wake|--|--|--|--|NR|Invrse|Invrse| 2017
7734|Rock of Ages II: Bigger & Boulder|3½ Hours|5½ Hours|8½ Hours|5 Hours|73|ACE Team|Atlus Usa|Action, Strategy
7735|Cold Waters|--|--|--|--|NR|Killerfish Games|Killerfish Games|Simulation, Strategy
7736|Danko and Treasure Map|--|--|--|--|NR|MetamorphoGames|Atriagames| January 06, 2017
7737|Glück Auf|--|--|--|--|NR|APPIDEMIC Studios|APPIDEMIC Studios| 5 Months Ago
7738|Battles of Norghan|--|--|--|--|NR|Mitorah Games|Mitorah Games| September 26, 2016
7739|Spiritual Warfare & Wisdom Tree Collection|--|--|--|--|30|Wisdom Tree|Piko Interactive| April 25, 2017
7740|Dark Days (2016)|--|--|--|--|NR|Brutal Studio|Brutal Studio| June 03, 2016
7741|Gun Bombers (2016)|--|--|--|--|NR|Antti Vaihia|Antti Vaihia| September 21, 2016
7742|The Last Birdling|3½ Hours|--|6½ Hours|5 Hours|NR|InvertMouse|InvertMouse|Visual Novel
7743|Hard Man|--|--|--|--|NR|oblomysh, EHTechnology|oblomysh, EHTechnology| July 09, 2017
7744|Eldritch Hunter|3 Hours|--|--|3 Hours|NR|Joshua Missile|Joshua Missile| January 27, 2017
7745|Boom-Bahh|--|--|--|--|NR|oblomysh, EHTechnology|oblomysh, EHTechnology| July 09, 2017
7746|Stellar Interface|--|--|--|--|NR|ImaginationOverflow|ImaginationOverflow| November 21, 2016
7747|Wonderful Everyday Down the Rabbit-Hole|52 Hours|56 Hours|57 Hours|54 Hours|77|KeroQ|Frontwing USA|Visual Novel
7748|Bannerman (2017)|4 Hours|--|--|4 Hours|60|Armitage Games|Armitage Games| August 31, 2017
7749|OHOTA KREPKOE|--|--|--|--|NR|Illumicorp|Illumicorp| July 18, 2017
7750|Simulator Gas Station|--|--|--|--|NR|DarSvet|Illumicorp| July 29, 2017
7751|NeonGalaxy Wars|--|--|--|--|NR|omylevca|Illumicorp| August 06, 2017
7752|Volantia: Kingdom in the Sky|3 Hours|--|4 Hours|3½ Hours|10|Tangled Mess Games|Humble Bundle| September 01, 2017
7753|Life Is Strange: Before the Storm - Episode 1: Awake|3 Hours|3½ Hours|3½ Hours|3½ Hours|82| DLC/Expansion|Deck Nine|PC, PlayStation 4, Xbox One
7754|Tom Clancy's Ghost Recon (2010)|20 Hours|--|--|20 Hours|NR|Next Level Games|Ubisoft|Shooter, Tactical
7755|TrackMania Turbo - VR Experience|1 Hours|3½ Hours|--|2½ Hours|70| DLC/Expansion|Nadeo|PlayStation VR
7756|On a Roll|--|--|--|--|NR|Creative Concepts|Creative Concepts| August 30, 2017
7757|Shantae: Half-Genie Hero - Pirate Queen's Quest|2½ Hours|3 Hours|3 Hours|3 Hours|76| DLC/Expansion|WayForward|Nintendo Switch, PC, PlayStation 4, PlayStation Vita
7758|Super Chase H.Q.|1 Hours|--|--|1 Hours|30|ITL|Taito Corporation| January 1994
7759|Fruit Sudoku|--|--|4 Mins|4 Mins|40|SlyGames|SlyGames|Puzzle
7760|Survival Driver 2: Heavy Vehicles|--|--|--|--|NR|Tero Lunkka|Tero Lunkka| August 23, 2017
7761|Torch Cave 3|--|--|30 Mins|30 Mins|50|Zonitron Productions|Zonitron Productions| July 05, 2017
7762|Sumo Fighter|--|--|1 Hours|1 Hours|70|KID|I'Max| March 1993
7763|Dungeons 3|18½ Hours|29½ Hours|--|24½ Hours|69|Realmforge Studios|Kalypso Media Digital|Simulation, Strategy
7764|Neighborhorde|--|--|--|--|NR|Fermenter Games|Fermenter Games| June 05, 2017
7765|Jumpman Junior|--|--|--|--|NR|Epyx|Epyx| 1983
7766|Lemuria: Lost in Space|--|--|--|--|NR|EJRGames|EJRGames| March 17, 2017
7767|Madu Maths|--|--|2 Hours|2 Hours|50|Tzar Leonardi|Tzar Leonardi| September 01, 2017
7768|Tesla's Tower: The Wardenclyffe Mystery|6½ Hours|--|--|6½ Hours|60|Persha Studio Developement|Big Fish Games| July 29, 2016
7769|Aquanox Deep Descent|--|--|--|--|NR|Digital Arrow|THQ Nordic| 2017
7770|Die Young|--|--|--|--|NR|IndieGala|IndieGala| June 05, 2017
7771|Looterkings|--|--|--|--|NR|Looterkings|Headup Games| August 11, 2017
7772|Robot Squad Simulator 2017|--|--|--|--|NR|Bit Golem|PlayWay| October 20, 2016
7773|Saurian|--|--|--|--|NR|Urvogel Games|Urvogel Games| August 02, 2017
7774|Ships 2017|--|--|--|--|NR|FragOut|FragOut| October 19, 2016
7775|Train Mechanic Simulator 2017|--|--|--|--|NR|Si7 Studio|PlayWay| March 23, 2017
7776|VRobot|--|--|--|--|NR|Luden.io|Nival| April 20, 2017
7777|Angry Birds Match|--|--|--|--|60|Rovio Entertainment|Rovio Entertainment| 6 Months Ago
7778|Cattle and Crops|--|--|--|--|NR|Masterbrain Bytes|Masterbrain Bytes| June 09, 2017
7779|Alien Splatter Redux|2 Hours|--|--|2 Hours|NR|Sinclair Strange|Sinclair Strange| July 28, 2017
7780|Morph Girl|--|--|--|--|NR|Jaydeb|Jaydeb| August 30, 2017
7781|Supreme Warrior|--|--|--|--|NR|Digital Pictures|Digital Pictures| 1994
7782|Bears Can't Drift!?|--|--|--|--|NR|Arran Langmead|Strangely Named Studio| August 08, 2016
7783|TO THE TOP|--|--|--|--|NR|Electric Hat Games|Electric Hat Games| May 18, 2017
7784|TUNNEL DIVERS|--|--|--|--|NR|Spasman Games|Spasman Games| October 13, 2017
7785|D&D;: Lords of Waterdeep|--|--|--|--|NR|Playdek|Playdek|Board Game, Strategy
7786|15 Defense|--|--|--|--|NR|LiMAVR|Atriagames| April 01, 2017
7787|A Robot Named Fight!|2½ Hours|7 Hours|--|4½ Hours|83|Matt Bitner Games|Matt Bitner Games|Action
7788|Omega Strike|6½ Hours|6½ Hours|8 Hours|7 Hours|NR|Woblyware|Woblyware|Action, Adventure
7789|Flow: The Sliding|--|--|1 Hours|1 Hours|NR|Cubamano|EasyGames| July 16, 2017
7790|Find You (2017)|--|7 Hours|--|7 Hours|50|Byting Games|Byting Games| September 04, 2017
7791|Don't Knock Twice|1 Hours|1½ Hours|--|1½ Hours|63|Wales Interactive|Wales Interactive|Adventure, Survival Horror
7792|LOGistICAL: British Isles|--|--|46 Hours|46 Hours|10|Sacada|Sacada| August 08, 2017
7793|Seed (2017)|5 Mins|--|--|5 Mins|NR|BorjaZoroza|BorjaZoroza| September 01, 2017
7794|Eternium|--|--|--|--|NR|Making Fun|Top-Down, Action, Role-Playing| 4 Months Ago
7795|Windscape|--|--|--|--|NR|Magic Sandbox|Headup Games| September 01, 2016
7796|Achievement Hunter: Urban|--|--|3 Hours|3 Hours|50|Putilin Industries|Putilin Industries| August 26, 2017
7797|Polygoneer|22 Mins|--|1 Hours|41 Mins|65|NukGames|NukGames| August 24, 2017
7798|Fate/Extra CCC|--|--|--|--|80|Aksys Games|Aksys Games| March 28, 2013
7799|Last Soldier (2017)|--|--|2 Hours|2 Hours|50|Faton|Faton| August 11, 2017
7800|Redemption Cemetery: Salvation of the Lost|--|--|--|--|NR|ERS G Studios|Big Fish Games| July 12, 2016
7801|Frantix|--|--|--|--|NR|Killer Game|Platform Publishing| September 19, 2005
7802|Whispered Secrets: The Story of Tideville|--|--|--|--|NR|Grandma Studios|Big Fish Games| December 09, 2016
7803|Mortal Blitz|--|--|--|--|NR|Skonec Entertainment|Skonec Entertainment| July 19, 2017
7804|Best of the Best: Championship Karate|--|--|--|--|NR|Loriciels Movie Software|Electro Brain| 1992
7805|Yomawari: Midnight Shadows|7½ Hours|9 Hours|--|8 Hours|85|Nippon Ichi Software|NIS America|Adventure, Strategy
7806|Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy|20 Hours|24 Hours|29 Hours|25 Hours|78|Level-5|Level-5|Adventure, Puzzle
7807|Tokyo Dark|5 Hours|6½ Hours|12½ Hours|6½ Hours|78|Cherrymochi|Square Enix|Point-and-Click, Side, Adventure, Role-Playing, Survival Horror
7808|LOGistICAL: USA - Florida|--|--|--|--|NR|Sacada|Sacada| August 29, 2017
7809|LOGistICAL: Italy|--|--|--|--|NR|Sacada|Sacada| August 22, 2017
7810|Burning Rival|15 Mins|--|--|15 Mins|50|Sega AM2|Sega| July 1993
7811|Hyper Universe|--|--|--|--|NR|CWAVESOFT|Nexon America|Moba
7812|Gelu|--|--|44 Mins|44 Mins|NR|NedoStudio|NedoStudio|Platform
7813|Trivia Vault: Classic Rock Trivia 2|--|--|1 Mins|1 Mins|30|Ripknot Systems|Ripknot Systems|Party
7814|Two Worlds II: Call of the Tenebrae|6½ Hours|13½ Hours|33 Hours|18½ Hours|NR|Reality Pump Studios|TopWare Interactive ACE|Action, Role-Playing
7815|Fantasy Mosaics 14: Fourth Color|--|8 Hours|12 Hours|10 Hours|NR|Andy Jurko|Andy Jurko|Puzzle
7816|Dream Coaster VR|--|--|--|--|NR|Vr Visio|Forever Entertainment| August 10, 2017
7817|Lander 8009 VR|--|--|--|--|NR|Ivanovich Games|Ivanovich Games| June 16, 2017
7818|Tank Battle Mania|--|--|2 Hours|2 Hours|60|Bogdanehi|Bogdanehi| July 14, 2017
7819|Kitten Adventures In City Park|--|--|15 Mins|15 Mins|28|Lokator Studio|Lokator Studio|Point-and-Click, Adventure
7820|Crazy Ball Adventures|--|--|2 Hours|2 Hours|60|FreezeNova|FreezeNova|Adventure
7821|Jurassic Park: Dinosaur Battles|5 Hours|--|--|5 Hours|NR|Vivendi Universal|Vivendi Universal|Fighting
7822|Dr. Cares - Pet Rescue 911|--|--|--|--|NR|Nitreal|GameHouse| September 21, 2017
7823|Raiders of the Broken Planet - Prologue|--|--|--|--|53|MercurySteam|Mercury Steam Entertainment| September 22, 2017
7824|Bob's Game|--|--|--|--|NR|Robert Pelloni|Bob Corporation| February 21, 2017
7825|Outlast Trinity|14½ Hours|21½ Hours|25 Hours|17½ Hours|80|Red Barrels|Warner Bros Interactive|First-Person, Survival Horror
7826|ROMBY|--|--|--|--|NR|Black Lime Studio|Black Lime Studio| July 26, 2017
7827|Dreaming About You|--|--|4 Hours|4 Hours|60|bch waves studio|bch waves studio| August 28, 2017
7828|Necrosphere|2½ Hours|--|--|2½ Hours|NR|Cat Nigiri|Cat Nigiri|Action, Platform
7829|Progress to 100|1½ Hours|--|--|1½ Hours|80|Ludosity|Ludosity|Puzzle
7830|Its Village|--|--|4 Hours|4 Hours|40|Limed|Limed|Real-Time, Strategy
7831|Ruthless Safari|--|--|1 Hours|1 Hours|20|SharkGame|Hardcore Studio| August 12, 2017
7832|Fallen Cube|--|--|9 Hours|9 Hours|30|WRD|Puzzle| July 14, 2017
7833|Dark Parables: Curse of Briar Rose|--|3½ Hours|5 Hours|4½ Hours|60|Blue Tea Games|Big Fish Games|Hidden Object
7834|Dark Parables: Rise of the Snow Queen|--|--|--|--|NR|Blue Tea Games|Big Fish Games| August 09, 2016
7835|Dark Parables: The Exiled Prince|--|--|--|--|NR|Blue Tea Games|Big Fish Games| August 09, 2016
7836|Dark Parables: The Final Cinderella|--|--|3½ Hours|3½ Hours|NR|Blue Tea Games|Big Fish Games|Hidden Object
7837|Dark Parables: The Little Mermaid and the Purple Tide|--|--|--|--|NR|Blue Tea Games, Eipix Entertainment|Big Fish Games| March 21, 2016
